epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.7939,1.7099,1.57395,1.56313,0.66472,0.52276,0.61296,0.45235,1.08429,1.11085,1.12462,8.33e-06,8.33e-06,8.33e-06
2,34.4622,1.58734,1.51377,1.46434,0.64837,0.56988,0.62395,0.45621,1.09718,1.10372,1.12789,1.74175e-05,1.74175e-05,1.74175e-05
3,37.3644,1.54579,1.46438,1.45002,0.63798,0.57529,0.6346,0.45526,1.13549,1.10174,1.14385,2.47825e-05,2.47825e-05,2.47825e-05
4,40.1946,1.47764,1.38738,1.42491,0.65276,0.59175,0.64694,0.45717,1.21195,1.10682,1.16881,2.93627e-05,2.93627e-05,2.93627e-05
5,42.9175,1.4007,1.36478,1.33942,0.61667,0.62479,0.65643,0.44448,1.30282,1.11319,1.20097,3.05361e-05,3.05361e-05,3.05361e-05
6,45.6158,1.40701,1.37045,1.37945,0.6594,0.61388,0.66913,0.4428,1.34667,1.1022,1.20553,2.82447e-05,2.82447e-05,2.82447e-05
7,48.1006,1.34004,1.30749,1.33209,0.67568,0.60937,0.6765,0.44327,1.36273,1.0914,1.20692,2.30408e-05,2.30408e-05,2.30408e-05
8,50.5323,1.34726,1.2915,1.32608,0.67619,0.62158,0.68597,0.44167,1.37674,1.08235,1.21208,1.60471e-05,1.60471e-05,1.60471e-05
9,53.1043,1.34774,1.28917,1.3464,0.67467,0.62507,0.69035,0.44229,1.3819,1.07773,1.21353,8.8323e-06,8.8323e-06,8.8323e-06
10,56.2378,1.30197,1.22778,1.28577,0.71702,0.60344,0.69115,0.44125,1.38797,1.08147,1.21676,3.21768e-06,3.21768e-06,3.21768e-06
